experiment,repetition,sampleIndex,raw,filtered
12,1,819,359,359
12,1,820,359,359
12,1,821,359,359
12,1,822,361,361
12,1,823,361,361
12,1,824,360,360
12,1,825,360,360
12,1,826,363,363
12,1,827,363,363
12,1,828,365,365
12,1,829,365,365
12,1,830,367,367
12,1,831,367,367
12,1,832,368,368
12,1,833,368,368
12,1,834,368,368
12,1,835,369,369
12,1,836,369,369
12,1,837,369,369
12,1,838,369,369
12,1,839,369,369
12,1,840,369,369
12,1,841,368,368
12,1,842,368,368
12,1,843,368,368
12,1,844,368,368
12,1,845,367,367
12,1,846,367,367
12,1,847,365,365
12,1,848,365,365
12,1,849,362,362
12,1,850,362,362
12,1,851,362,362
12,1,852,360,360
12,1,853,360,360
12,1,854,360,360
12,1,855,360,360
12,1,856,358,358
12,1,857,358,358
12,1,858,358,358
12,1,859,358,358
12,1,860,359,359
12,1,861,359,359
12,1,862,361,361
12,1,863,361,361
12,1,864,362,362
12,1,865,362,362
12,1,866,366,366
12,1,867,366,366
12,1,868,368,368
12,1,869,369,369
12,1,870,369,369
12,1,871,369,369
12,1,872,369,369
12,1,873,370,370
12,1,874,370,370
12,1,875,370,370
12,1,876,370,370
12,1,877,369,369
12,1,878,369,369
12,1,879,367,367
12,1,880,367,367
12,1,881,363,363
12,1,882,363,363
12,1,883,363,363
12,1,884,363,363
12,1,885,360,360
12,1,886,359,359
12,1,887,359,359
12,1,888,359,359
12,1,889,359,359
12,1,890,358,358
12,1,891,358,358
12,1,892,358,358
12,1,893,358,358
12,1,894,358,358
12,1,895,358,358
12,1,896,359,359
12,1,897,359,359
12,1,898,359,359
12,1,899,359,359
12,1,900,364,364
12,1,901,364,364
12,1,902,364,364
12,1,903,364,364
12,1,904,366,366
12,1,905,369,369
12,1,906,369,369
12,1,907,369,369
12,1,908,369,369
12,1,909,371,371
12,1,910,371,371
12,1,911,370,370
12,1,912,370,370
12,1,913,370,370
12,1,914,370,370
12,1,915,368,368
12,1,916,368,368
12,1,917,367,367
12,1,918,365,365
12,1,919,365,365
12,1,920,363,363
12,1,921,363,363
12,1,922,361,361
12,1,923,361,361
12,1,924,360,360
12,1,925,360,360
12,1,926,360,360
12,1,927,360,360
12,1,928,359,359
12,1,929,359,359
12,1,930,358,358
12,1,931,358,358
12,1,932,360,360
12,1,933,360,360
12,1,934,359,359
12,1,935,359,359
12,1,936,359,359
12,1,937,364,364
12,1,938,364,364
12,1,939,363,363
12,1,940,363,363
12,1,941,367,367
12,1,942,367,367
12,1,943,369,369
12,1,944,369,369
12,1,945,369,369
12,1,946,369,369
12,1,947,370,370
12,1,948,370,370
12,1,949,369,369
12,1,950,369,369
12,1,951,368,368
12,1,952,368,368
12,1,953,366,366
12,1,954,365,365
12,1,955,365,365
12,1,956,364,364
12,1,957,364,364
12,1,958,362,362
12,1,959,362,362
12,1,960,361,361
12,1,961,361,361
12,1,962,360,360
12,1,963,360,360
12,1,964,360,360
12,1,965,360,360
12,1,966,359,359
12,1,967,359,359
12,1,968,358,358
12,1,969,358,358
12,1,970,359,359
12,1,971,359,359
12,1,972,358,358
12,1,973,358,358
12,1,974,362,362
12,1,975,362,362
12,1,976,362,362
12,1,977,362,362
12,1,978,366,366
12,1,979,366,366
12,1,980,370,370
12,1,981,370,370
12,1,982,368,368
12,1,983,368,368
12,1,984,367,367
12,1,985,367,367
12,1,986,367,367
12,1,987,369,369
12,1,988,370,370
12,1,989,370,370
12,1,990,369,369
12,1,991,369,369
12,1,992,366,366
12,1,993,366,366
12,1,994,363,363
12,1,995,363,363
12,1,996,364,364
12,1,997,364,364
12,1,998,362,362
12,1,999,362,362
12,1,1000,361,361
12,1,1001,361,361
12,1,1002,358,358
12,1,1003,358,358
12,1,1004,358,358
12,1,1005,358,358
12,1,1006,362,362
12,1,1007,358,358
12,1,1008,358,358
12,1,1009,362,362
12,1,1010,362,362
12,1,1011,360,360
12,1,1012,360,360
12,1,1013,367,367
12,1,1014,367,367
12,1,1015,363,363
12,1,1016,363,363
12,1,1017,367,367
12,1,1018,367,367
12,1,1019,368,368
12,1,1020,368,368
12,1,1021,370,370
12,1,1022,370,370
12,1,1023,370,370
12,1,1024,370,370
12,1,1025,370,370
12,1,1026,371,371
12,1,1027,371,371
12,1,1028,370,370
12,1,1029,370,370
12,1,1030,366,366
12,1,1031,366,366
12,1,1032,367,367
12,1,1033,367,367
12,1,1034,364,364
12,1,1035,364,364
12,1,1036,362,362
12,1,1037,362,362
12,1,1038,359,359
12,1,1039,359,359
12,1,1040,359,359
12,1,1041,359,359
12,1,1042,359,359
12,1,1043,357,357
12,1,1044,357,357
12,1,1045,358,358
12,1,1046,358,358
12,1,1047,360,360
12,1,1048,360,360
12,1,1049,361,361
12,1,1050,361,361
12,1,1051,362,362
12,1,1052,362,362
12,1,1053,365,365
12,1,1054,365,365
12,1,1055,363,363
12,1,1056,363,363
12,1,1057,368,368
12,1,1058,367,367
12,1,1059,367,367
12,1,1060,369,369
12,1,1061,369,369
12,1,1062,370,370
12,1,1063,370,370
12,1,1064,370,370
12,1,1065,370,370
12,1,1066,370,370
12,1,1067,370,370
12,1,1068,369,369
12,1,1069,369,369
12,1,1070,368,368
12,1,1071,368,368
12,1,1072,365,365
12,1,1073,365,365
12,1,1074,364,364
12,1,1075,364,364
12,1,1076,362,362
12,1,1077,362,362
