experiment,repetition,sampleIndex,raw,filtered
6,1,353,375,374
6,1,354,375,371
6,1,355,367,370
6,1,356,367,370
6,1,357,375,372
6,1,358,375,375
6,1,359,375,375
6,1,360,375,371
6,1,361,367,370
6,1,362,367,371
6,1,363,376,372
6,1,364,376,375
6,1,365,374,375
6,1,366,373,373
6,1,367,373,373
6,1,368,373,373
6,1,369,373,374
6,1,370,375,374
6,1,371,375,376
6,1,372,376,376
6,1,373,376,375
6,1,374,373,374
6,1,375,373,375
6,1,376,377,375
6,1,377,377,377
6,1,378,374,375
6,1,379,374,371
6,1,380,366,370
6,1,381,366,369
6,1,382,375,367
6,1,383,363,367
6,1,384,363,366
6,1,385,369,366
6,1,386,369,371
6,1,387,371,370
6,1,388,371,365
6,1,389,357,362
6,1,390,357,362
6,1,391,368,363
6,1,392,368,367
6,1,393,363,365
6,1,394,363,360
6,1,395,355,358
6,1,396,355,360
6,1,397,366,361
6,1,398,366,364
6,1,399,360,363
6,1,400,360,359
6,1,401,358,360
6,1,402,358,361
6,1,403,368,360
6,1,404,355,359
6,1,405,355,357
6,1,406,359,357
6,1,407,359,362
6,1,408,367,365
6,1,409,367,365
6,1,410,363,365
6,1,411,363,363
6,1,412,363,362
6,1,413,363,362
6,1,414,360,361
6,1,415,360,362
6,1,416,365,363
6,1,417,365,363
6,1,418,360,362
6,1,419,361,361
6,1,420,361,364
6,1,421,368,365
6,1,422,368,365
6,1,423,360,364
6,1,424,360,362
6,1,425,364,362
6,1,426,364,365
6,1,427,366,365
6,1,428,366,362
6,1,429,357,361
6,1,430,357,363
6,1,431,371,365
6,1,432,371,368
6,1,433,363,367
6,1,434,363,361
6,1,435,360,361
6,1,436,360,366
6,1,437,374,368
6,1,438,374,370
6,1,439,364,370
6,1,440,369,368
6,1,441,369,370
6,1,442,374,373
6,1,443,374,372
6,1,444,370,372
6,1,445,370,372
6,1,446,375,373
6,1,447,375,375
6,1,448,376,376
6,1,449,376,375
6,1,450,374,375
6,1,451,374,375
6,1,452,376,375
6,1,453,376,376
6,1,454,376,376
6,1,455,376,376
6,1,456,376,375
6,1,457,373,374
6,1,458,373,374
6,1,459,375,374
6,1,460,375,377
6,1,461,377,376
6,1,462,377,372
6,1,463,365,370
6,1,464,365,370
6,1,465,376,371
6,1,466,376,375
6,1,467,371,373
6,1,468,371,367
6,1,469,361,365
6,1,470,361,368
6,1,471,375,368
6,1,472,375,369
6,1,473,359,366
6,1,474,363,363
6,1,475,363,365
6,1,476,370,367
6,1,477,370,364
6,1,478,355,361
6,1,479,355,358
6,1,480,361,358
6,1,481,361,361
6,1,482,360,361
6,1,483,360,358
6,1,484,354,356
6,1,485,354,355
6,1,486,357,355
6,1,487,357,357
6,1,488,356,357
6,1,489,356,356
6,1,490,356,356
6,1,491,356,356
6,1,492,355,355
6,1,493,355,355
6,1,494,354,354
6,1,495,354,354
6,1,496,354,354
6,1,497,354,355
6,1,498,358,357
6,1,499,359,359
6,1,500,359,361
6,1,501,362,361
6,1,502,362,361
6,1,503,360,361
6,1,504,360,362
6,1,505,365,363
6,1,506,365,365
6,1,507,366,366
6,1,508,366,364
6,1,509,363,364
6,1,510,363,366
6,1,511,371,368
6,1,512,371,371
6,1,513,372,372
6,1,514,372,372
6,1,515,372,373
6,1,516,374,373
6,1,517,374,373
6,1,518,372,373
6,1,519,372,373
6,1,520,375,374
6,1,521,375,375
6,1,522,376,376
6,1,523,376,376
6,1,524,376,376
6,1,525,376,376
6,1,526,376,376
6,1,527,376,376
6,1,528,376,376
6,1,529,376,376
6,1,530,377,375
6,1,531,373,374
6,1,532,373,373
6,1,533,373,373
6,1,534,373,374
6,1,535,374,373
6,1,536,374,372
6,1,537,369,371
6,1,538,369,372
6,1,539,375,372
6,1,540,375,371
6,1,541,365,369
6,1,542,365,366
6,1,543,367,365
6,1,544,367,366
6,1,545,364,366
6,1,546,365,365
6,1,547,365,363
6,1,548,359,361
6,1,549,359,360
6,1,550,360,359
6,1,551,360,360
6,1,552,358,359
6,1,553,358,357
6,1,554,355,356
6,1,555,355,355
6,1,556,355,355
6,1,557,355,355
6,1,558,355,355
6,1,559,355,355
6,1,560,354,354
6,1,561,354,354
6,1,562,355,355
6,1,563,355,356
6,1,564,357,356
6,1,565,357,357
6,1,566,356,358
6,1,567,362,360
